IDfg,Season,Name,Projected_H,Projected_2B,Projected_3B,Projected_HR,Projected_R,Projected_RBI,Projected_BB,Projected_SH,Projected_SB,Projected_AB,Projected_PA,Projected_AVG,Projected_OBP,Projected_SLG,Projected_OPS,H,1B,2B,3B,HR,R,RBI,BB,SH,SB,wRC,WAR,G,AB,PA,AVG,BB%,OBP,SLG,OPS,ISO,wRAA,wRC+
15676,2022,JosÃ© Abreu,142,29,1,28,77,102,45,1,2,532,600,.267,.336,.483,.819,183,128,40,0,15,85,75,62,0,0,105,3.8,157,601,679,0.304,0.091,0.378,0.446,0.824,0.141,27.8,137
18401,2022,Ronald Acuna Jr.,101,19,1,25,79,60,54,1,18,370,435,.273,.375,.532,.907,124,85,24,0,15,71,50,53,0,29,72,2.4,119,467,533,0.266,0.099,0.351,0.413,0.764,0.148,10.9,115
15986,2022,Willy Adames,123,28,1,21,69,61,50,2,5,479,533,.257,.329,.451,.780,134,72,31,0,31,83,98,49,0,8,78,4.4,139,563,617,0.238,0.079,0.298,0.458,0.756,0.22,7.3,109
19864,2022,Riley Adams,54,13,1,7,31,27,26,1,2,226,260,.239,.332,.398,.730,25,16,4,0,5,14,10,12,0,0,10,-1.0,48,142,155,0.176,0.077,0.245,0.31,0.555,0.134,-7.5,58
20220,2022,Jo Adell,65,12,2,9,34,38,22,2,3,278,306,.234,.296,.388,.685,60,38,12,2,8,22,27,11,0,4,25,-0.2,88,268,285,0.224,0.039,0.264,0.373,0.637,0.149,-7.2,77
8418,2022,Ehire Adrianza,70,14,2,8,43,34,31,2,2,290,332,.241,.320,.386,.706,17,14,3,0,0,8,7,11,0,1,5,-0.6,37,97,110,0.175,0.1,0.264,0.206,0.47,0.031,-7.6,39
11342,2022,Jesus Aguilar,112,21,0,19,55,78,49,1,1,449,513,.249,.323,.423,.746,109,74,19,0,16,39,51,28,0,1,49,-0.7,129,464,507,0.235,0.055,0.281,0.379,0.661,0.144,-8.8,82
12147,2022,Nick Ahmed,106,26,3,11,56,53,39,2,7,447,495,.237,.300,.383,.683,12,7,2,0,3,7,7,2,0,0,6,0.4,17,52,54,0.231,0.037,0.259,0.442,0.702,0.212,-0.3,92
11902,2022,Hanser Alberto,100,21,2,7,45,38,15,5,4,364,390,.275,.308,.401,.709,38,25,9,2,2,13,15,3,0,0,13,-0.3,73,156,159,0.244,0.019,0.258,0.365,0.623,0.122,-5.1,73
16556,2022,Ozzie Albies,143,32,5,23,85,81,42,1,14,526,576,.272,.328,.483,.811,61,37,16,0,8,36,35,16,0,3,30,1.1,64,247,269,0.247,0.059,0.294,0.409,0.703,0.162,-1.1,94
16417,2022,Sergio Alcantara,65,11,3,9,40,30,35,2,4,293,334,.222,.309,.372,.681,45,30,8,1,6,26,29,12,2,1,18,0.0,93,205,224,0.22,0.054,0.261,0.356,0.617,0.137,-7.3,70
12180,2022,Jorge Alfaro,87,15,1,10,36,44,20,1,6,353,383,.246,.299,.380,.679,63,42,14,0,7,25,40,11,0,1,27,0.4,82,256,274,0.246,0.04,0.285,0.383,0.667,0.137,-4.1,90
14329,2022,Anthony Alford,60,11,2,10,32,29,23,1,7,253,282,.237,.310,.415,.725,1,1,0,0,0,0,0,0,0,0,0,-0.1,2,4,4,0.25,0.0,0.25,0.25,0.5,0.0,-0.3,36
18083,2022,Austin Allen,45,9,1,6,23,22,17,1,2,192,213,.234,.302,.385,.687,1,1,0,0,0,1,0,1,0,0,0,-0.1,5,14,16,0.071,0.063,0.188,0.071,0.259,0.0,-2.1,-12
16623,2022,Greg Allen,48,10,2,5,29,24,17,2,7,204,233,.235,.313,.377,.690,22,16,4,0,2,17,8,10,3,8,8,0.0,46,118,134,0.186,0.075,0.26,0.271,0.531,0.085,-7.2,50
19251,2022,Pete Alonso,130,24,2,35,77,87,57,1,3,510,583,.255,.343,.516,.859,162,95,27,0,40,95,131,67,0,5,109,3.8,160,597,685,0.271,0.098,0.352,0.518,0.869,0.246,30.5,141
5417,2022,Jose Altuve,142,27,1,25,93,70,52,2,5,533,596,.266,.334,.462,.795,158,91,39,0,28,103,57,66,0,18,111,6.9,141,527,604,0.3,0.109,0.387,0.533,0.921,0.233,41.8,164
16959,2022,Eddy Alvarez,49,11,1,6,29,25,19,1,4,220,248,.223,.304,.364,.667,4,4,0,0,0,1,3,0,1,1,-1,-0.5,14,25,27,0.16,0.0,0.154,0.16,0.314,0.0,-3.7,-18
19556,2022,Yordan Ãlvarez,125,29,1,27,75,87,49,1,2,444,501,.282,.359,.534,.892,144,76,29,2,37,95,97,78,0,1,116,6.4,135,470,561,0.306,0.139,0.406,0.613,1.019,0.306,52.1,185
18289,2022,Brian Anderson,87,17,1,14,42,49,36,1,4,347,394,.251,.333,.427,.760,75,50,16,1,8,43,28,37,0,1,39,0.2,98,338,383,0.222,0.0969999999999999,0.311,0.346,0.657,0.124,-5.0,85
15172,2022,Tim Anderson,153,28,1,18,86,58,25,1,14,504,535,.304,.339,.470,.809,100,81,13,0,6,50,25,14,0,13,44,2.2,79,332,351,0.301,0.04,0.339,0.395,0.734,0.093,3.6,110
8709,2022,Elvis Andrus,112,22,2,8,57,44,31,2,14,458,500,.245,.295,.354,.649,133,84,32,0,17,66,58,39,0,18,66,3.4,149,535,577,0.249,0.068,0.303,0.404,0.707,0.155,0.1,104
15878,2022,Miguel Andujar,66,9,1,9,33,27,19,1,2,275,299,.240,.292,.378,.670,31,24,5,1,1,13,17,5,0,4,9,-0.3,36,132,140,0.235,0.036,0.257,0.311,0.568,0.076,-6.9,56
15482,2022,Aristides Aquino,63,11,1,15,40,43,32,1,5,278,317,.227,.313,.435,.749,51,28,13,0,10,24,30,17,0,2,22,0.2,80,259,276,0.197,0.062,0.246,0.363,0.609,0.166,-9.5,63
20275,2022,Jonathan Arauz,55,10,1,8,31,30,25,3,2,230,259,.239,.318,.396,.713,5,4,0,0,1,3,5,1,1,0,0,-0.4,15,38,41,0.132,0.024,0.15,0.211,0.361,0.079,-5.1,-2
13185,2022,Orlando Arcia,62,11,1,8,31,34,24,1,4,267,296,.232,.297,.371,.668,51,33,9,0,9,25,30,21,0,0,29,0.7,68,209,234,0.244,0.09,0.316,0.416,0.733,0.172,2.1,105
9777,2022,Nolan Arenado,138,28,2,28,75,88,48,1,3,522,581,.264,.326,.487,.812,163,90,42,1,30,73,103,52,0,5,106,7.2,148,557,620,0.293,0.084,0.358,0.533,0.891,0.241,35.1,149
19290,2022,Randy Arozarena,123,25,2,19,78,61,48,1,15,458,523,.269,.351,.456,.807,154,90,41,3,20,72,89,46,0,32,87,2.9,153,586,645,0.263,0.071,0.327,0.445,0.773,0.183,13.2,124
18568,2022,Luis Arraez,126,22,3,6,61,45,43,1,3,422,472,.299,.364,.408,.771,173,133,31,1,8,88,49,50,0,4,88,2.7,144,547,603,0.316,0.083,0.375,0.42,0.795,0.104,19.0,130
16434,2022,Christian Arroyo,68,15,1,11,38,39,22,2,2,274,305,.248,.317,.431,.747,80,57,16,1,6,32,36,13,2,5,36,0.3,87,280,300,0.286,0.043,0.322,0.414,0.736,0.129,2.1,102
22168,2022,Akil Baddoo,100,19,5,13,56,52,42,1,13,384,431,.260,.334,.438,.772,41,34,3,2,2,30,9,24,0,9,16,-0.3,73,201,225,0.204,0.107,0.289,0.269,0.558,0.065,-9.5,65
18030,2022,Harrison Bader,93,20,2,15,54,48,38,1,9,385,434,.242,.321,.421,.742,73,55,10,3,5,38,30,15,0,17,30,1.5,86,292,313,0.25,0.048,0.294,0.356,0.65,0.106,-5.8,84
12979,2022,Javier Baez,126,24,2,25,74,75,29,1,12,496,537,.254,.304,.462,.766,132,84,27,4,17,64,67,26,0,9,59,2.0,144,555,590,0.238,0.044,0.278,0.393,0.671,0.155,-8.7,89
12158,2022,Austin Barnes,66,13,1,8,41,35,32,2,4,299,341,.221,.307,.351,.658,38,24,6,0,8,31,26,27,2,2,25,1.3,62,179,212,0.212,0.127,0.324,0.38,0.704,0.168,0.9,104
10200,2022,Tucker Barnhart,88,19,0,11,43,49,39,1,2,376,424,.234,.313,.372,.685,62,51,10,0,1,16,16,25,1,0,21,0.3,94,281,308,0.221,0.081,0.287,0.267,0.554,0.046,-13.9,63
19615,2022,Luis Barrera,45,9,1,6,25,23,17,1,2,182,204,.247,.317,.407,.723,18,12,5,0,1,3,7,6,0,3,8,0.3,32,77,85,0.234,0.071,0.294,0.338,0.632,0.104,-2.0,85
19977,2022,Tres Barrera,55,10,1,7,27,27,24,1,2,222,254,.248,.333,.396,.730,9,8,1,0,0,2,4,2,1,0,1,-0.4,19,50,53,0.18,0.038,0.212,0.2,0.412,0.02,-5.2,15
23378,2022,JosÃ© Barrero,52,10,1,6,26,23,18,1,3,223,246,.233,.301,.368,.669,25,20,3,0,2,13,10,9,0,4,2,-1.3,48,165,174,0.152,0.052,0.195,0.206,0.401,0.055,-17.6,6
21524,2022,Joey Bart,52,10,2,5,29,24,16,1,2,210,233,.248,.315,.386,.700,56,39,6,0,11,34,25,26,0,2,30,0.4,97,261,291,0.215,0.089,0.296,0.364,0.66,0.149,-3.6,90
17710,2022,Matt Beaty,75,13,1,10,44,48,26,1,4,297,332,.253,.328,.404,.732,4,2,1,1,0,6,1,2,0,0,0,-0.7,20,43,47,0.093,0.043,0.17,0.163,0.333,0.07,-5.6,-1
20493,2022,Seth Beer,46,9,1,7,27,25,18,1,2,182,205,.253,.325,.429,.754,21,17,3,0,1,4,9,11,0,0,7,-0.9,38,111,126,0.189,0.087,0.278,0.243,0.521,0.054,-7.0,49
13145,2022,Josh Bell,121,23,1,25,70,80,59,1,1,475,544,.255,.339,.465,.804,147,98,29,3,17,78,71,81,0,0,91,2.1,156,552,647,0.266,0.125,0.362,0.422,0.784,0.156,17.5,124
15998,2022,Cody Bellinger,92,18,2,21,62,59,50,1,7,385,441,.239,.327,.460,.787,106,57,27,3,19,70,68,38,0,14,52,1.5,144,504,550,0.21,0.069,0.265,0.389,0.654,0.179,-11.2,83
10264,2022,Brandon Belt,95,20,2,20,60,55,54,1,3,376,439,.253,.351,.476,.827,54,36,9,1,8,25,23,37,0,1,33,0.1,78,254,298,0.213,0.124,0.326,0.35,0.676,0.138,-1.5,97
17901,2022,Andrew Benintendi,113,25,2,13,56,58,41,3,7,431,483,.262,.329,.420,.749,140,109,23,3,5,54,51,52,1,8,73,2.1,126,461,521,0.304,0.1,0.373,0.399,0.772,0.095,13.3,121
12037,2022,Jon Berti,77,15,1,8,51,33,40,2,13,326,376,.236,.327,.362,.689,86,62,17,3,4,47,28,42,0,41,42,2.2,102,358,404,0.24,0.104,0.324,0.338,0.662,0.098,-3.7,88
13611,2022,Mookie Betts,126,27,3,23,91,62,64,1,11,465,541,.271,.364,.490,.854,154,76,40,3,35,117,82,55,0,12,105,6.1,142,572,639,0.269,0.086,0.34,0.533,0.873,0.264,32.3,144
19612,2022,Bo Bichette,158,30,1,24,93,82,38,1,17,534,580,.296,.347,.491,.837,189,121,43,1,24,91,93,41,0,13,101,4.8,159,652,697,0.29,0.059,0.333,0.469,0.802,0.179,20.9,129
19252,2022,Cavan Biggio,84,18,1,13,54,44,56,1,8,355,419,.237,.343,.403,.746,52,27,18,1,6,43,24,38,1,2,33,1.3,97,257,303,0.202,0.125,0.318,0.35,0.668,0.148,-1.9,97
7859,2022,Charlie Blackmon,137,27,4,17,76,74,44,1,3,498,558,.275,.341,.448,.788,140,96,22,6,16,60,78,32,4,4,69,0.1,135,530,577,0.264,0.055,0.314,0.419,0.733,0.155,3.4,91
18395,2022,Travis Blankenhorn,46,11,1,7,27,25,18,1,2,191,213,.241,.315,.419,.733,0,0,0,0,0,0,0,0,0,0,0,-0.1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-100
12161,2022,Xander Bogaerts,143,32,1,23,82,77,56,1,6,496,562,.288,.361,.496,.857,171,118,38,0,15,84,73,57,0,8,99,6.0,150,557,631,0.307,0.09,0.377,0.456,0.833,0.149,26.7,133
21618,2022,Alec Bohm,109,20,0,10,54,54,37,1,4,411,457,.265,.329,.387,.716,164,124,24,3,13,79,72,31,0,2,72,1.4,152,586,631,0.28,0.049,0.315,0.398,0.713,0.118,0.0,98
17723,2022,Skye Bolt,43,9,1,7,26,24,17,3,4,207,230,.208,.273,.362,.635,21,15,2,0,4,10,13,7,0,5,9,0.1,42,106,116,0.198,0.06,0.259,0.33,0.589,0.132,-4.4,71
14593,2022,David Bote,79,15,2,12,45,49,39,1,3,353,403,.224,.309,.380,.689,30,18,8,0,4,15,12,6,0,1,16,0.5,41,116,127,0.259,0.047,0.315,0.431,0.746,0.172,1.6,112
17278,2022,Bobby Bradley,67,15,1,15,42,44,30,1,2,300,340,.223,.304,.430,.734,2,2,0,0,0,1,0,0,0,0,-1,-0.4,8,17,17,0.118,0.0,0.118,0.118,0.235,0.0,-2.8,-43
12984,2022,Jackie Bradley Jr.,88,20,2,12,53,44,40,2,7,419,473,.210,.291,.353,.644,70,42,23,1,4,30,38,24,2,2,25,-0.2,132,344,370,0.203,0.065,0.255,0.311,0.566,0.108,-17.1,56
4106,2022,Michael Brantley,133,29,2,13,65,56,38,1,3,458,504,.290,.350,.448,.797,70,50,14,1,5,28,26,31,1,1,39,1.1,64,243,277,0.288,0.1119999999999999,0.37,0.416,0.785,0.128,7.7,128
17678,2022,Alex Bregman,102,22,1,18,64,62,58,1,3,380,449,.268,.369,.474,.843,142,81,38,0,23,93,93,87,0,1,100,5.4,155,548,656,0.259,0.133,0.366,0.454,0.82,0.195,25.0,137
19683,2022,Mike Brosseau,66,15,1,11,38,35,25,1,4,278,311,.237,.310,.417,.727,36,25,5,0,6,15,23,14,0,2,22,0.6,70,141,160,0.255,0.088,0.344,0.418,0.762,0.163,3.6,118
19683,2022,Mike Brosseau,66,15,1,11,38,35,25,1,4,278,311,.237,.310,.417,.727,36,25,5,0,6,15,23,14,0,2,22,0.6,70,141,160,0.255,0.088,0.344,0.418,0.762,0.163,3.6,118
