Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Miguel Cabrera",,,676.0479736328125,575.0659790039062,179.8679962158203,103.3280029296875,43.31380081176758,0.9452800154685974,32.28020095825195,107.71099853515625,113.99700164794922,90.78589630126953,18,97.3010025024414,3.6118199825286865,6.4756999015808105,0.10826999694108963,,2.2454800605773926,1.4249900579452515,0.31277801640670266,0.13428913308240878,0.14392618023774936,0.9330417361218,0.40575488638713697,0.5597831556480402,0.4088600174331127,0.9655380420351771,0.2470051392413375,2.5276054468286615,0.32655022568582104,,-0.7663908801427828,125.61307119144232,49.674684519054885,157.43120774051894,-0.7663908801427828,,44.444185963899905,2.484009309350428,7.316136251533725,,,,,,,,1150.0963960587976,,1150.0963960587976,,,,,,,,,,,,,,,,,,,,"Miguel Cabrera","1744",408234
"Albert Pujols",,,681.2349853515625,576.39599609375,177.67300415039062,93.9613037109375,42.1708984375,0.6049500107765198,40.93600082397461,111.4489974975586,125.82099914550781,91.69920349121094,23,70.06890106201172,5.23976993560791,7.853020191192627,0.04746999964118004,,7.067989826202393,3.288409948348999,0.3082481581317098,0.1346073021248139,0.1028556996758637,1.3087004662747055,0.4031368458116959,0.5965724193861972,0.4179119870205269,0.9997092651978932,0.2883242612544874,3.258880200395337,0.28893545459108105,,-0.4924478825832417,131.454795724357,54.933768001429904,169.7225165586899,-0.4924478825832417,,54.815122549522485,-12.5,6.8462127536094,,,,,,,,1224.1536085188386,,1224.1536085188386,,,,,,,,,,,,,,,,,,,,"Albert Pujols","1177",405395
"Evan Longoria",,,646.2410278320312,549.469970703125,152.91099548339844,76.25830078125,42.73569869995117,1.8699699640274048,32.04669952392578,96.435302734375,109.14299774169922,81.072998046875,6,112.80599975585938,6.633619785308838,8.787790298461914,0.2767300009727478,,6.2776198387146,2.4552199840545654,0.27828817521679494,0.1254531893755703,0.17455716195286122,0.7186940253385229,0.37249362534509295,0.5378390484028993,0.38901294520078,0.9103326737479922,0.25955087318610437,3.881038345375573,0.2923628836475338,,-0.28631835305814246,109.92894187534448,37.33867762033452,150.82623871098218,-0.28631835305814246,,37.96065576633756,2.374489373280538,6.515021458909031,,,,,,,,1010.8356497883798,,1010.8356497883798,,,,,,,,,,,,,,,,,,,,"Evan Longoria","9368",446334
"Carlos Santana","CLE",,659.469970703125,543.8679809570312,137.5749969482422,68.32250213623047,41.896400451660156,1.9511100053787231,25.405000686645508,89.26239776611328,93.92549896240234,103.6969985961914,7,118.87200164794922,3.337779998779297,7.799220085144043,0.7677299976348877,,5.24153995513916,2.9226300716400146,0.25295660300897804,0.1572429423672316,0.18025385071166808,0.8723416545411591,0.3713512075338823,0.47730082463298756,0.3678423803961177,0.8486520321668698,0.22434422162400952,3.444216534035715,0.2753379846089789,,-0.7153958708029924,101.1352900216121,27.059059358606245,135.267186416061,-0.7153958708029924,,26.366584658196853,12.11548300086576,6.365028916653335,,,,,,,,920.8597942471506,,920.8597942471506,,,,,,,,,,,,,,,,,,,,"Carlos Santana","2396",467793
"Ryan Braun",,,650,583.6680297851562,178.56199645996094,100.43399810791016,42.70000076293945,4.2598700523376465,31.168699264526367,96.3656997680664,96.17569732666016,56.975799560546875,2,103.7229995727539,6.716139793395996,2.529550075531006,0.11010999977588654,,19.24489974975586,6.4027099609375,0.30593074718464236,0.08765507624699519,0.15957384549654446,0.5493072876337579,0.3727617212640383,0.5538908940548062,0.3990754607149274,0.9266526153188445,0.24796014687016382,5.4450970298001575,0.32659290160632765,,0.7378731492053554,115.7422551171811,42.72975709605531,152.81247217574824,0.7378731492053554,,40.38621874945588,-7.164902998236332,5.618766924341237,,,,,,,,1067.0897246837615,,1067.0897246837615,,,,,,,,,,,,,,,,,,,,"Ryan Braun","3410",460075
"José Bautista",,,657.6710205078125,538.2830200195312,143.11300659179688,67.63619995117188,36.784698486328125,2.6645700931549072,36.02730178833008,106.38099670410156,103.45600128173828,106.87100219726562,19,116.85700225830078,6.75816011428833,3.571660041809082,2.186769962310791,,6.499239921569824,3.2808799743652344,0.2658694427823566,0.16249918099591268,0.17768306435042722,0.9145451289349175,0.39168344405550476,0.544896464216855,0.39636913959441633,0.9365799082723598,0.2790270214344984,4.079620735129021,0.27530555385898386,,-0.5827137243948833,115.70025097938881,41.82609085111429,149.0453368236451,-0.5827137243948833,,36.97689078311004,-7.249460102599342,5.432706244622148,,,,,,,,1067.7197077035905,,1067.7197077035905,,,,,,,,,,,,,,,,,,,,"Jose Bautista","1887",430832
"Joey Votto",,,681.0499877929688,575.1619873046875,171.4600067138672,97.2343978881836,41.399200439453125,2.029129981994629,30.797800064086914,103.0979995727539,94.98359680175781,97.5696029663086,13,126.11599731445312,4.900969982147217,3.128690004348755,0.2883099913597107,,8.1141996383667,4.648680210113525,0.29810733410488344,0.14326349712228262,0.1851787674545718,0.773649695867147,0.4023886194443516,0.5377813482057641,0.4027209611522409,0.9401699676501156,0.23967401410088063,3.7172806595269545,0.33381567273691365,,-0.8872168008754547,123.23513595215047,46.73488843519373,155.4091253528396,-0.8872168008754547,,42.69762765412254,-12.5,5.399457930341448,,,,,,,,1115.9494866371156,,1115.9494866371156,,,,,,,,,,,,,,,,,,,,"Joey Votto","4314",458015
"Giancarlo Stanton","NYY",,641.1430053710938,551.5,147.6510009765625,61.757999420166016,42.655601501464844,5.326580047607422,37.910701751708984,96.29340362548828,115.2249984741211,77.72360229492188,7,159.20700073242188,8.165969848632812,2.893019914627075,0.8603500127792358,,5.086329936981201,3.8154499530792236,0.26772620304000455,0.12122662439393757,0.24831745710190323,0.4881921142748704,0.3647460918301768,0.5706106066595719,0.3976648465413663,0.9353566984897487,0.3028844036195673,4.504578481507668,0.3071589160261602,,-0.9970324619466178,113.44971501172172,41.43209591800537,151.85778425903405,-0.9970324619466178,,37.40410436678714,-7.067272986894771,5.284968824738209,,,,,,,,1042.4184360027311,,1042.4184360027311,,,,,,,,,,,,,,,,,,,,"Giancarlo Stanton","4949",519317
"Mike Napoli",,,539.9210205078125,468.5199890136719,125.66699981689453,63.888999938964844,31.226200103759766,1.633270025253296,28.918500900268555,86.27130126953125,81.07170104980469,59.970699310302734,2,119.98300170898438,7.347259998321533,3.621730089187622,0.46055999398231506,,4.235789775848389,2.4356000423431396,0.2682212131043729,0.11107309593891793,0.2222232459038854,0.4998266292400326,0.357737504485582,0.5270110552660182,0.3815456943167604,0.8847485597516003,0.2587898421616453,3.914644165728653,0.2993083594798904,,-0.5822375790347248,88.6541093124106,28.006444017963084,135.21514426387532,-0.5822375790347248,,21.557592910528165,9.919183945249348,5.208080376691726,,,,,,,,810.0969362497331,,810.0969362497331,,,,,,,,,,,,,,,,,,,,"Mike Napoli","3057",435063
"Matt Kemp",,,669.89697265625,593.27099609375,169.35800170898438,101.06900024414062,34.31999969482422,5.135829925537109,28.833200454711914,90.2344970703125,96.73560333251953,62.73830032348633,20,152.22300720214844,4.349760055541992,9.304630279541016,0.2326499968767166,,26.578800201416016,10.951800346374512,0.2854648260644484,0.09365365553858052,0.22723346039102035,0.4121472928213236,0.35308180324770133,0.5064284167058293,0.36142864392596596,0.8595102199535306,0.22096359064138088,5.7724700810022584,0.3333768149571489,,0.4645611591621459,99.33562919932452,24.08816552175127,132.82079057143685,0.4645611591621459,,25.858628636060836,2.461408629689337,5.164734643929918,,,,,,,,976.0669879913329,,976.0669879913329,,,,,,,,,,,,,,,,,,,,"Matt Kemp","5631",461314
